Name,Position,Games Played,Minutes,Tries Per Game,Try Assists Per Game,Try Contributions Per Game,Carries Per Game,Meters Per Game,Defenders Beaten Per Game,Linebreaks Per Game,Offloads Per Game,Tackles Per Game,Missed Tackles Per Game,Turnovers Won Per Game,Turnovers Lost Per Game,Penalties Per Game,Kicks Per Game,Passes Per Game,Dominant Tackles Per Game
Aaron Cruden,First Five,13,430,0.0,0.23076923076923078,0.6923076923076923,4.153846153846154,20.53846153846154,0.9230769230769231,0.46153846153846156,1.2307692307692308,3.3846153846153846,0.3076923076923077,0.07692307692307693,0.6923076923076923,0.15384615384615385,3.4615384615384617,11.0,0.0
Aaron Smith,Halfback,75,4212,0.2,0.64,1.9066666666666667,3.7333333333333334,14.426666666666666,0.8266666666666667,0.6666666666666666,0.29333333333333333,3.8266666666666667,0.9733333333333334,0.13333333333333333,0.64,0.30666666666666664,3.6133333333333333,52.48,0.09333333333333334
Aidan Ross,Prop,1,20,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Akira Ioane,Blindside,21,1103,0.047619047619047616,0.09523809523809523,0.23809523809523808,7.095238095238095,28.80952380952381,1.9523809523809523,0.42857142857142855,0.09523809523809523,5.0,0.5238095238095238,0.38095238095238093,0.42857142857142855,0.6190476190476191,0.09523809523809523,2.5238095238095237,0.19047619047619047
Alex Hodgman,Prop,2,29,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Angus Ta'avao,Prop,23,732,0.13043478260869565,0.043478260869565216,0.043478260869565216,2.0434782608695654,4.913043478260869,0.2608695652173913,0.043478260869565216,0.13043478260869565,5.0,0.43478260869565216,0.0,0.17391304347826086,0.6086956521739131,0.0,0.9565217391304348,0.043478260869565216
Anton Lienert-Brown,Second Five,67,3584,0.208955223880597,0.3582089552238806,0.6268656716417911,6.955223880597015,31.955223880597014,2.08955223880597,0.7761194029850746,0.9552238805970149,4.955223880597015,0.6417910447761194,0.16417910447761194,0.6268656716417911,0.31343283582089554,0.22388059701492538,5.223880597014926,0.08955223880597014
Ardie Savea,Openside,79,4599,0.2911392405063291,0.26582278481012656,0.3670886075949367,9.278481012658228,31.88607594936709,2.3037974683544302,0.4810126582278481,0.7215189873417721,8.189873417721518,0.45569620253164556,0.5063291139240507,0.5063291139240507,0.4430379746835443,0.08860759493670886,5.012658227848101,0.17721518987341772
Asafo Aumua,Hooker,6,188,0.3333333333333333,0.0,0.0,5.5,18.5,0.5,0.0,0.16666666666666666,3.6666666666666665,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1.8333333333333333,0.0
Atu Moli,Prop,4,153,0.0,0.0,0.0,2.5,3.75,0.0,0.0,0.0,6.25,1.25,0.0,0.5,0.25,0.0,0.5,0.0
Beauden Barrett,First Five,85,5597,0.4,0.6235294117647059,1.2588235294117647,9.811764705882354,46.705882352941174,2.3176470588235296,0.9058823529411765,0.7411764705882353,3.541176470588235,1.0823529411764705,0.16470588235294117,1.3058823529411765,0.27058823529411763,7.435294117647059,15.905882352941177,0.03529411764705882
Ben Smith,Fullback,36,2608,0.5555555555555556,0.3055555555555556,0.6111111111111112,8.916666666666666,64.05555555555556,3.638888888888889,2.111111111111111,1.1388888888888888,2.861111111111111,0.5277777777777778,0.3055555555555556,1.1111111111111112,0.2222222222222222,1.1944444444444444,7.638888888888889,0.0
Brad Weber,Halfback,17,411,0.35294117647058826,0.4117647058823529,1.1764705882352942,1.5294117647058822,15.588235294117647,0.29411764705882354,0.47058823529411764,0.0,2.3529411764705883,0.35294117647058826,0.0,0.29411764705882354,0.058823529411764705,0.23529411764705882,22.823529411764707,0.0
Braydon Ennor,Center,9,312,0.1111111111111111,0.1111111111111111,0.2222222222222222,2.888888888888889,25.22222222222222,1.1111111111111112,0.5555555555555556,0.6666666666666666,2.4444444444444446,0.7777777777777778,0.0,0.8888888888888888,0.4444444444444444,0.3333333333333333,2.5555555555555554,0.2222222222222222
Brett Cameron,First Five,1,10,0.0,0.0,0.0,1.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brodie Retallick,Lock,62,3994,0.11290322580645161,0.08064516129032258,0.1935483870967742,6.983870967741935,18.838709677419356,0.8548387096774194,0.3064516129032258,0.43548387096774194,7.983870967741935,0.8225806451612904,0.45161290322580644,0.5,0.8709677419354839,0.04838709677419355,4.193548387096774,0.12903225806451613
Caleb Clarke,Wing,17,1136,0.35294117647058826,0.058823529411764705,0.17647058823529413,8.705882352941176,59.705882352941174,2.411764705882353,1.1764705882352942,0.058823529411764705,2.9411764705882355,0.6470588235294118,0.058823529411764705,1.3529411764705883,0.29411764705882354,0.23529411764705882,2.764705882352941,0.11764705882352941
Cam Roigard,Halfback,5,190,0.8,1.2,3.0,7.6,43.4,5.2,1.4,0.2,3.0,0.6,0.2,1.0,0.2,1.8,37.8,0.0
Charlie Faumuina,Prop,17,532,0.17647058823529413,0.058823529411764705,0.17647058823529413,2.4705882352941178,4.882352941176471,0.29411764705882354,0.058823529411764705,0.17647058823529413,3.0588235294117645,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.058823529411764705,1.1176470588235294,0.0
Codie Taylor,Hooker,78,3526,0.23076923076923078,0.10256410256410256,0.1794871794871795,4.1923076923076925,12.666666666666666,0.5128205128205128,0.38461538461538464,0.14102564102564102,6.243589743589744,0.5641025641025641,0.15384615384615385,0.41025641025641024,0.2692307692307692,0.02564102564102564,1.8846153846153846,0.05128205128205128
Cullen Grace,Number 8,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas McLeod,Center,1,41,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Dalton Papali'i,Openside,31,1522,0.25806451612903225,0.0967741935483871,0.16129032258064516,3.032258064516129,15.129032258064516,0.6129032258064516,0.3548387096774194,0.2903225806451613,9.161290322580646,0.5161290322580645,0.3548387096774194,0.45161290322580644,0.4838709677419355,0.0,1.935483870967742,0.3225806451612903
Damian McKenzie,Fullback,46,2421,0.41304347826086957,0.5434782608695652,0.8695652173913043,7.717391304347826,50.108695652173914,3.217391304347826,1.2173913043478262,0.9347826086956522,2.369565217391304,0.6086956521739131,0.06521739130434782,1.3478260869565217,0.2608695652173913,2.847826086956522,12.521739130434783,0.06521739130434782
Dane Coles,Hooker,51,2392,0.3333333333333333,0.19607843137254902,0.3333333333333333,4.568627450980392,16.07843137254902,0.7647058823529411,0.6862745098039216,0.5882352941176471,5.7254901960784315,0.5882352941176471,0.19607843137254902,0.37254901960784315,0.43137254901960786,0.11764705882352941,2.6862745098039214,0.0
David Havili,Second Five,27,1402,0.3333333333333333,0.14814814814814814,0.37037037037037035,5.888888888888889,30.48148148148148,1.7407407407407407,0.5185185185185185,0.5185185185185185,4.814814814814815,0.9259259259259259,0.037037037037037035,0.7407407407407407,0.4074074074074074,1.0740740740740742,4.518518518518518,0.14814814814814814
Dillon Hunt,Openside,1,22,0.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
Elliot Dixon,Blindside,3,139,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.333333333333333,36.666666666666664,1.0,1.6666666666666667,0.3333333333333333,5.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,0.0
Emoni Narawa,Wing,1,80,1.0,0.0,0.0,9.0,79.0,2.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0
Ethan Blackadder,Blindside,10,524,0.0,0.0,0.2,4.1,13.2,0.5,0.4,0.6,9.3,0.8,0.4,0.8,0.7,0.0,2.9,0.0
Ethan De Groot,Prop,22,1052,0.13636363636363635,0.0,0.13636363636363635,3.3636363636363638,3.6363636363636362,0.18181818181818182,0.045454545454545456,0.09090909090909091,6.0,0.5909090909090909,0.09090909090909091,0.18181818181818182,0.7727272727272727,0.0,1.4545454545454546,0.09090909090909091
Finlay Christie,Halfback,23,614,0.043478260869565216,0.34782608695652173,1.2173913043478262,1.7826086956521738,11.304347826086957,0.17391304347826086,0.30434782608695654,0.21739130434782608,2.391304347826087,0.5652173913043478,0.08695652173913043,0.43478260869565216,0.30434782608695654,0.8695652173913043,29.52173913043478,0.08695652173913043
Fletcher Newell,Prop,13,392,0.07692307692307693,0.0,0.0,2.6923076923076925,3.769230769230769,0.23076923076923078,0.0,0.07692307692307693,3.230769230769231,0.23076923076923078,0.07692307692307693,0.0,0.5384615384615384,0.0,1.0769230769230769,0.0
Folau Fakatava,Halfback,2,38,0.0,0.0,0.5,3.5,8.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,25.0,0.0
Gareth Evans,Blindside,1,27,0.0,2.0,2.0,5.0,13.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0
George Bower,Prop,22,941,0.0,0.0,0.045454545454545456,3.5,4.636363636363637,0.22727272727272727,0.09090909090909091,0.09090909090909091,4.2727272727272725,1.1818181818181819,0.09090909090909091,0.09090909090909091,0.5909090909090909,0.0,0.7727272727272727,0.18181818181818182
George Bridge,Wing,18,1125,0.6666666666666666,0.2777777777777778,0.5555555555555556,9.222222222222221,73.16666666666667,2.3333333333333335,1.9444444444444444,0.4444444444444444,2.5,0.5555555555555556,0.16666666666666666,1.0555555555555556,0.1111111111111111,0.3333333333333333,3.4444444444444446,0.0
George Moala,Center,3,134,0.6666666666666666,0.0,0.3333333333333333,4.666666666666667,35.0,1.3333333333333333,1.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,4.333333333333333,0.0
Hoskins Sotutu,Number 8,11,501,0.18181818181818182,0.2727272727272727,0.6363636363636364,6.818181818181818,27.0,1.0,0.45454545454545453,0.45454545454545453,3.4545454545454546,0.5454545454545454,0.0,0.36363636363636365,0.8181818181818182,0.18181818181818182,6.2727272727272725,0.18181818181818182
Israel Dagg,Fullback,17,1263,0.7058823529411765,0.23529411764705882,0.5882352941176471,9.470588235294118,66.82352941176471,2.2941176470588234,1.6470588235294117,0.8823529411764706,2.2941176470588234,0.7058823529411765,0.17647058823529413,1.8823529411764706,0.29411764705882354,1.7647058823529411,6.176470588235294,0.0
Jack Goodhue,Center,15,937,0.2,0.13333333333333333,0.4666666666666667,9.666666666666666,44.8,3.4,1.1333333333333333,1.0,6.0,0.8,0.2,0.6,0.4,0.4,7.0,0.0
Jackson Hemopo,Lock,5,149,0.0,0.0,0.0,2.4,4.6,0.2,0.2,0.2,3.6,0.2,0.4,0.2,0.8,0.0,1.2,0.0
James Parsons,Hooker,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jerome Kaino,Blindside,14,866,0.07142857142857142,0.14285714285714285,0.21428571428571427,5.857142857142857,22.642857142857142,0.5,0.14285714285714285,0.14285714285714285,8.142857142857142,0.9285714285714286,0.35714285714285715,0.5,0.5,0.0,2.5,0.0
Joe Moody,Prop,44,2304,0.09090909090909091,0.0,0.0,2.25,5.818181818181818,0.20454545454545456,0.13636363636363635,0.045454545454545456,7.340909090909091,0.8636363636363636,0.045454545454545456,0.1590909090909091,0.7045454545454546,0.0,0.6363636363636364,0.0
Jordie Barrett,Fullback,54,3415,0.3888888888888889,0.24074074074074073,0.5,8.648148148148149,44.888888888888886,2.1666666666666665,0.8518518518518519,0.7962962962962963,3.9074074074074074,0.8148148148148148,0.14814814814814814,1.1666666666666667,0.24074074074074073,1.962962962962963,6.592592592592593,0.09259259259259259
Josh Ioane,First Five,2,39,0.0,2.0,2.5,2.0,5.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,6.5,0.0
Josh Lord,Lock,4,175,0.0,0.0,0.0,3.5,6.75,0.25,0.0,0.25,3.75,0.25,0.0,0.5,0.75,0.0,1.75,0.0
Julian Savea,Wing,13,918,0.6153846153846154,0.23076923076923078,0.5384615384615384,8.153846153846153,68.84615384615384,2.4615384615384617,2.0,0.5384615384615384,2.3846153846153846,1.0,0.15384615384615385,2.1538461538461537,0.07692307692307693,0.3076923076923077,3.8461538461538463,0.0
Kane Hames,Prop,9,373,0.0,0.0,0.1111111111111111,1.7777777777777777,3.2222222222222223,0.0,0.0,0.4444444444444444,5.555555555555555,0.4444444444444444,0.1111111111111111,0.2222222222222222,1.2222222222222223,0.0,1.3333333333333333,0.0
Karl Tuinukuafe,Prop,25,837,0.0,0.04,0.04,1.64,4.6,0.24,0.08,0.04,3.6,0.64,0.08,0.08,0.48,0.0,0.72,0.0
Kieran Read,Number 8,43,3356,0.13953488372093023,0.20930232558139536,0.7209302325581395,9.418604651162791,21.186046511627907,0.6511627906976745,0.46511627906976744,0.6976744186046512,10.906976744186046,1.3488372093023255,0.46511627906976744,0.9069767441860465,0.8604651162790697,0.046511627906976744,7.186046511627907,0.0
Leicester Fainga'anuku,Wing,7,431,0.2857142857142857,0.2857142857142857,0.42857142857142855,12.142857142857142,62.57142857142857,3.5714285714285716,1.2857142857142858,0.8571428571428571,4.142857142857143,1.0,0.0,1.1428571428571428,0.14285714285714285,0.8571428571428571,2.5714285714285716,0.0
Liam Coltman,Hooker,8,222,0.0,0.0,0.0,1.75,8.375,0.375,0.0,0.0,4.625,0.0,0.0,0.25,0.125,0.0,0.5,0.0
Liam Squire,Blindside,23,1185,0.17391304347826086,0.08695652173913043,0.08695652173913043,5.913043478260869,25.0,1.0,0.5217391304347826,0.21739130434782608,7.043478260869565,0.6086956521739131,0.08695652173913043,0.4782608695652174,0.4782608695652174,0.0,1.2173913043478262,0.0
Lima Sopoaga,First Five,15,330,0.06666666666666667,0.2,0.8,2.466666666666667,10.866666666666667,0.4,0.4,0.06666666666666667,2.1333333333333333,0.6,0.06666666666666667,0.4,0.06666666666666667,2.4,7.133333333333334,0.0
Luke Jacobson,Number 8,18,763,0.2777777777777778,0.1111111111111111,0.3888888888888889,5.444444444444445,21.72222222222222,0.6666666666666666,0.5,0.5555555555555556,5.888888888888889,0.3888888888888889,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,4.111111111111111,0.3333333333333333
Luke Romano,Lock,9,359,0.1111111111111111,0.0,0.1111111111111111,4.555555555555555,8.666666666666666,0.5555555555555556,0.0,0.0,4.888888888888889,0.6666666666666666,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.0,0.8888888888888888,0.0
Luke Whitelock,Number 8,6,379,0.0,0.0,0.16666666666666666,6.333333333333333,12.333333333333334,0.0,0.0,0.3333333333333333,8.666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333,0.0,3.1666666666666665,0.0
Malakai Fekitoa,Center,11,657,0.36363636363636365,0.18181818181818182,0.5454545454545454,8.090909090909092,44.72727272727273,1.2727272727272727,0.9090909090909091,1.2727272727272727,4.909090909090909,0.6363636363636364,0.45454545454545453,1.5454545454545454,0.36363636363636365,0.7272727272727273,6.7272727272727275,0.0
Mark Telea,Wing,9,702,0.6666666666666666,0.3333333333333333,0.3333333333333333,15.11111111111111,88.44444444444444,7.555555555555555,2.111111111111111,1.2222222222222223,4.444444444444445,1.3333333333333333,0.3333333333333333,1.0,0.7777777777777778,0.2222222222222222,3.4444444444444446,0.3333333333333333
Matt Proctor,Center,1,80,1.0,0.0,0.0,8.0,50.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0
Matt Todd,Openside,22,773,0.13636363636363635,0.0,0.18181818181818182,3.6818181818181817,10.909090909090908,0.5,0.5,0.36363636363636365,6.7727272727272725,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.0,2.1363636363636362,0.0
Mitchell Drummond,Halfback,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Nathan Harris,Hooker,18,249,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.5,1.7777777777777777,0.05555555555555555,0.05555555555555555,0.0,1.9444444444444444,0.4444444444444444,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.0
Nehe Milner-Skudder,Wing,5,293,0.8,0.2,0.2,7.6,66.6,2.6,2.4,0.6,2.0,0.4,0.0,1.2,0.0,0.6,4.8,0.0
Nepo Laulala,Prop,48,2377,0.0,0.0,0.020833333333333332,3.2291666666666665,3.0,0.14583333333333334,0.0,0.10416666666666667,4.270833333333333,1.0208333333333333,0.08333333333333333,0.2708333333333333,0.5625,0.0,1.0625,0.08333333333333333
Ngani Laumape,Second Five,14,659,0.5714285714285714,0.21428571428571427,0.35714285714285715,5.928571428571429,37.57142857142857,1.7857142857142858,1.0714285714285714,0.35714285714285715,4.214285714285714,0.5,0.07142857142857142,0.7857142857142857,0.07142857142857142,0.42857142857142855,4.428571428571429,0.0
Ofa Tu'ungafasi,Prop,54,1718,0.018518518518518517,0.0,0.037037037037037035,3.5925925925925926,3.537037037037037,0.1111111111111111,0.0,0.07407407407407407,3.7962962962962963,0.8518518518518519,0.2222222222222222,0.3148148148148148,0.6666666666666666,0.0,1.2037037037037037,0.037037037037037035
Owen Franks,Prop,30,1499,0.0,0.0,0.06666666666666667,2.7333333333333334,1.8666666666666667,0.06666666666666667,0.03333333333333333,0.1,7.066666666666666,1.1,0.03333333333333333,0.3,0.7666666666666667,0.0,0.9666666666666667,0.0
Patrick Tuipulotu,Lock,33,1314,0.15151515151515152,0.09090909090909091,0.15151515151515152,3.8181818181818183,11.545454545454545,0.6666666666666666,0.21212121212121213,0.30303030303030304,3.9393939393939394,0.5151515151515151,0.09090909090909091,0.6666666666666666,0.24242424242424243,0.0,1.9090909090909092,0.030303030303030304
Pita Gus Sowakula,Number 8,2,30,0.5,0.0,0.0,3.0,3.5,0.5,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0
Quinn Tupaea,Second Five,14,636,0.14285714285714285,0.2857142857142857,0.5714285714285714,7.5,43.07142857142857,1.7142857142857142,0.35714285714285715,0.7142857142857143,4.0,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.07142857142857142,3.7142857142857144,0.07142857142857142
Richie Mo'unga,First Five,53,3065,0.1509433962264151,0.41509433962264153,1.0566037735849056,6.716981132075472,33.490566037735846,2.6226415094339623,0.5471698113207547,0.6981132075471698,4.2075471698113205,0.9245283018867925,0.09433962264150944,0.8679245283018868,0.18867924528301888,4.056603773584905,15.981132075471699,0.09433962264150944
Rieko Ioane,Wing,67,4705,0.5074626865671642,0.2537313432835821,0.44776119402985076,7.776119402985074,66.40298507462687,2.985074626865672,1.462686567164179,0.9104477611940298,4.268656716417911,1.0149253731343284,0.14925373134328357,1.0298507462686568,0.40298507462686567,0.04477611940298507,4.417910447761194,0.08955223880597014
Roger Tuivasa-Sheck,Second Five,3,91,0.0,0.6666666666666666,1.0,6.333333333333333,20.333333333333332,2.0,0.0,1.6666666666666667,4.333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,4.0,0.0
Ryan Crotty,Second Five,33,1953,0.30303030303030304,0.09090909090909091,0.6363636363636364,6.151515151515151,30.818181818181817,1.5757575757575757,0.8787878787878788,0.45454545454545453,6.575757575757576,0.8787878787878788,0.18181818181818182,0.5757575757575758,0.18181818181818182,0.21212121212121213,6.363636363636363,0.0
Sam Cane,Openside,61,3757,0.08196721311475409,0.04918032786885246,0.16393442622950818,5.672131147540983,10.508196721311476,0.3442622950819672,0.21311475409836064,0.6065573770491803,10.78688524590164,1.2459016393442623,0.5737704918032787,0.5737704918032787,0.5245901639344263,0.03278688524590164,5.0,0.19672131147540983
Sam Whitelock,Lock,78,5448,0.038461538461538464,0.0,0.0641025641025641,5.705128205128205,8.23076923076923,0.3974358974358974,0.08974358974358974,0.2948717948717949,10.08974358974359,0.6923076923076923,0.3333333333333333,0.32051282051282054,0.6923076923076923,0.01282051282051282,3.230769230769231,0.16666666666666666
Samipeni Finau,Blindside,1,80,1.0,0.0,0.0,19.0,43.0,1.0,0.0,0.0,17.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0
Samisoni Taukei'aho,Hooker,30,1064,0.3333333333333333,0.03333333333333333,0.13333333333333333,8.333333333333334,15.833333333333334,1.3333333333333333,0.1,0.36666666666666664,5.0,0.4666666666666667,0.1,0.5,0.36666666666666664,0.0,1.5333333333333334,0.4666666666666667
Scott Barrett,Lock,67,3714,0.1044776119402985,0.04477611940298507,0.11940298507462686,5.2388059701492535,10.492537313432836,0.4925373134328358,0.1791044776119403,0.2537313432835821,6.776119402985074,0.7611940298507462,0.2835820895522388,0.43283582089552236,0.5970149253731343,0.0,3.2686567164179103,0.16417910447761194
Seta Tamanivalu,Center,3,64,0.0,0.0,0.0,3.3333333333333335,13.666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,3.0,1.0,0.0,1.0,0.0,0.3333333333333333,2.6666666666666665,0.0
Sevu Reece,Wing,23,1608,0.6521739130434783,0.08695652173913043,0.13043478260869565,7.260869565217392,51.43478260869565,2.869565217391304,1.608695652173913,0.8695652173913043,4.434782608695652,1.0869565217391304,0.17391304347826086,1.2173913043478262,0.2608695652173913,0.34782608695652173,3.782608695652174,0.043478260869565216
Shannon Frizell,Blindside,30,1609,0.26666666666666666,0.06666666666666667,0.26666666666666666,8.266666666666667,18.266666666666666,1.3,0.43333333333333335,0.5666666666666667,8.066666666666666,1.1,0.13333333333333333,0.6333333333333333,0.5,0.0,3.533333333333333,0.26666666666666666
Shaun Stevenson,Wing,1,80,1.0,0.0,0.0,15.0,55.0,1.0,0.0,2.0,9.0,2.0,2.0,2.0,0.0,3.0,6.0,1.0
Sonny Bill Williams,Second Five,25,1485,0.16,0.32,0.8,9.04,26.76,1.08,0.64,2.04,6.52,1.2,0.32,0.96,0.52,0.44,6.96,0.0
Stephen Perofeta,First Five,3,83,0.0,0.0,0.3333333333333333,3.3333333333333335,16.666666666666668,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0
Steven Luatua,Number 8,1,80,1.0,0.0,0.0,11.0,37.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0
TJ Perenara,Halfback,60,1941,0.25,0.2833333333333333,1.05,2.7666666666666666,13.95,0.4666666666666667,0.5166666666666667,0.3333333333333333,2.6666666666666665,0.43333333333333335,0.36666666666666664,0.5666666666666667,0.11666666666666667,1.2333333333333334,31.95,0.0
Tamaiti Williams,Prop,8,223,0.125,0.0,0.0,1.75,3.125,0.5,0.0,0.0,2.5,0.375,0.0,0.25,0.375,0.0,1.125,0.375
Tawera Kerr-Barlow,Halfback,7,139,0.14285714285714285,0.42857142857142855,1.2857142857142858,1.7142857142857142,5.857142857142857,0.14285714285714285,0.14285714285714285,0.0,2.4285714285714284,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,2.4285714285714284,19.857142857142858,0.0
Te Toiroa Tahuriorangi,Halfback,3,97,0.3333333333333333,0.3333333333333333,1.0,2.6666666666666665,26.666666666666668,1.0,1.6666666666666667,0.0,2.6666666666666665,1.0,0.0,0.6666666666666666,0.0,1.0,37.0,0.0
Tim Perry,Prop,6,149,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,4.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
Tupou Vaa'i,Lock,25,767,0.12,0.04,0.08,4.68,10.56,0.52,0.12,0.24,3.24,0.36,0.04,0.48,0.28,0.0,2.96,0.04
Tyrel Lomax,Prop,30,1268,0.0,0.0,0.03333333333333333,3.6,3.066666666666667,0.0,0.0,0.06666666666666667,5.433333333333334,1.0,0.06666666666666667,0.16666666666666666,0.7666666666666667,0.0,0.7,0.1
Vaea Fifita,Blindside,11,603,0.18181818181818182,0.0,0.0,4.909090909090909,29.727272727272727,2.0,0.8181818181818182,0.2727272727272727,6.181818181818182,1.0909090909090908,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.0,1.5454545454545454,0.0
Waisake Naholo,Wing,23,1510,0.6521739130434783,0.17391304347826086,0.34782608695652173,8.73913043478261,68.30434782608695,3.4347826086956523,2.3043478260869565,0.6521739130434783,3.347826086956522,1.391304347826087,0.6521739130434783,1.2173913043478262,0.5217391304347826,0.6521739130434783,4.0,0.0
Will Jordan,Wing,31,2064,1.0,0.2903225806451613,0.5483870967741935,8.483870967741936,68.93548387096774,2.2580645161290325,2.064516129032258,0.7419354838709677,4.612903225806452,0.5806451612903226,0.16129032258064516,1.2580645161290323,0.2903225806451613,1.4193548387096775,5.354838709677419,0.41935483870967744
Wyatt Crockett,Prop,26,832,0.038461538461538464,0.038461538461538464,0.15384615384615385,1.8076923076923077,3.0,0.038461538461538464,0.07692307692307693,0.23076923076923078,3.730769230769231,0.9230769230769231,0.07692307692307693,0.19230769230769232,0.9230769230769231,0.0,1.4230769230769231,0.0
